region,sub-region,country,disease,outbreaks
Asia,Southern Asia,Afghanistan,Influenza,1
Asia,Southern Asia,Afghanistan,Acute Polio,1
Asia,Southern Asia,Afghanistan,COVID-19,3
Asia,Southern Asia,Afghanistan,Cholera,5
Asia,Southern Asia,Afghanistan,Dengue,1
Asia,Southern Asia,Afghanistan,Diphtheria,1
Asia,Southern Asia,Afghanistan,Infection,1
Asia,Southern Asia,Afghanistan,Infectious Gastroenteritis or Colitis,1
Asia,Southern Asia,Afghanistan,Leishmaniasis,1
Asia,Southern Asia,Afghanistan,Measles,1
Asia,Southern Asia,Afghanistan,SARS,1
Asia,Southern Asia,Afghanistan,Unspecified Viral Haemorrhagic Fever,2
Asia,Southern Asia,Afghanistan,Whooping Cough Pertussis,1
Europe,Southern Europe,Albania,Influenza,1
Europe,Southern Europe,Albania,Acute Polio,1
Europe,Southern Europe,Albania,COVID-19,3
Europe,Southern Europe,Albania,West Nile Virus,1
Africa,Northern Africa,Algeria,Influenza,2
Africa,Northern Africa,Algeria,COVID-19,3
Africa,Northern Africa,Algeria,Cholera,1
Africa,Northern Africa,Algeria,MERS,1
Africa,Northern Africa,Algeria,Plague,1
Africa,Northern Africa,Algeria,Typhoid Fever,1
Oceania,Polynesia,American Samoa,Influenza,1
Oceania,Polynesia,American Samoa,COVID-19,2
Oceania,Polynesia,American Samoa,Measles,1
Europe,Southern Europe,Andorra,Influenza,1
Europe,Southern Europe,Andorra,COVID-19,3
Africa,Sub-Saharan Africa,Angola,Influenza,2
Africa,Sub-Saharan Africa,Angola,Acute Polio,5
Africa,Sub-Saharan Africa,Angola,COVID-19,3
Africa,Sub-Saharan Africa,Angola,Cholera,1
Africa,Sub-Saharan Africa,Angola,Infection,2
Africa,Sub-Saharan Africa,Angola,Meningococcal Meningitis,2
Africa,Sub-Saharan Africa,Angola,Unspecified Viral Haemorrhagic Fever,1
Africa,Sub-Saharan Africa,Angola,Viral Meningitis,2
Africa,Sub-Saharan Africa,Angola,Yellow Fever,1
Americas,Latin America and the Caribbean,Anguilla,COVID-19,3
Americas,Latin America and the Caribbean,Antigua and Barbuda,Influenza,1
Americas,Latin America and the Caribbean,Antigua and Barbuda,COVID-19,3
Americas,Latin America and the Caribbean,Argentina,Influenza,2
Americas,Latin America and the Caribbean,Argentina,COVID-19,3
Americas,Latin America and the Caribbean,Argentina,Chikungunya Virus,1
Americas,Latin America and the Caribbean,Argentina,Cholera,1
Americas,Latin America and the Caribbean,Argentina,Hantavirus Pulmonary Syndrome,1
Asia,Western Asia,Armenia,Influenza,1
Asia,Western Asia,Armenia,COVID-19,3
Asia,Western Asia,Armenia,Cholera,1
Americas,Latin America and the Caribbean,Aruba,Influenza,1
Americas,Latin America and the Caribbean,Aruba,COVID-19,3
Oceania,Australia and New Zealand,Australia,Influenza,2
Oceania,Australia and New Zealand,Australia,COVID-19,3
Oceania,Australia and New Zealand,Australia,Legionnaires' Disease,1
Oceania,Australia and New Zealand,Australia,Listeriosis,1
Oceania,Australia and New Zealand,Australia,Measles,1
Oceania,Australia and New Zealand,Australia,SARS,1
Europe,Western Europe,Austria,Influenza,4
Europe,Western Europe,Austria,Acute Hepatitis A,1
Europe,Western Europe,Austria,COVID-19,3
Europe,Western Europe,Austria,Escherichia Coli,1
Europe,Western Europe,Austria,MERS,2
Asia,Western Asia,Azerbaijan,Influenza,2
Asia,Western Asia,Azerbaijan,COVID-19,3
Americas,Latin America and the Caribbean,Bahamas,Influenza,1
Americas,Latin America and the Caribbean,Bahamas,COVID-19,3
Asia,Western Asia,Bahrain,Influenza,1
Asia,Western Asia,Bahrain,COVID-19,3
Asia,Western Asia,Bahrain,MERS,1
Asia,Southern Asia,Bangladesh,Influenza,5
Asia,Southern Asia,Bangladesh,Acute Polio,1
Asia,Southern Asia,Bangladesh,COVID-19,3
Asia,Southern Asia,Bangladesh,Diphtheria,1
Asia,Southern Asia,Bangladesh,Infectious Gastroenteritis or Colitis,1
Asia,Southern Asia,Bangladesh,Measles,1
Asia,Southern Asia,Bangladesh,Unspecified Virus,3
Americas,Latin America and the Caribbean,Barbados,Influenza,1
Americas,Latin America and the Caribbean,Barbados,COVID-19,3
Americas,Latin America and the Caribbean,Barbados,Zika Virus,1
Europe,Eastern Europe,Belarus,COVID-19,3
Europe,Western Europe,Belgium,Influenza,2
Europe,Western Europe,Belgium,Acute Hepatitis A,1
Europe,Western Europe,Belgium,COVID-19,3
Europe,Western Europe,Belgium,Legionnaires' Disease,1
Europe,Western Europe,Belgium,SARS,1
Europe,Western Europe,Belgium,Yellow Fever,1
Americas,Latin America and the Caribbean,Belize,Influenza,1
Americas,Latin America and the Caribbean,Belize,COVID-19,3
Americas,Latin America and the Caribbean,Belize,Cholera,1
Africa,Sub-Saharan Africa,Benin,Acute Polio,3
Africa,Sub-Saharan Africa,Benin,COVID-19,3
Africa,Sub-Saharan Africa,Benin,Cholera,3
Africa,Sub-Saharan Africa,Benin,Lassa Fever,2
Africa,Sub-Saharan Africa,Benin,Meningococcal Meningitis,4
Africa,Sub-Saharan Africa,Benin,Viral Meningitis,3
Africa,Sub-Saharan Africa,Benin,Yellow Fever,1
Americas,Northern America,Bermuda,Influenza,1
Americas,Northern America,Bermuda,COVID-19,3
Asia,Southern Asia,Bhutan,Influenza,2
Asia,Southern Asia,Bhutan,COVID-19,3
Asia,Southern Asia,Bhutan,Cholera,1
Americas,Latin America and the Caribbean,Bolivia,Influenza,2
Americas,Latin America and the Caribbean,Bolivia,COVID-19,3
Americas,Latin America and the Caribbean,Bolivia,Cholera,2
Americas,Latin America and the Caribbean,Bolivia,Sylvatic Yellow Fever,1
Americas,Latin America and the Caribbean,Bolivia,Yellow Fever,2
Americas,Latin America and the Caribbean,Bolivia,Zika Virus,1
Americas,Latin America and the Caribbean,"Bonaire, Sint Eustatius, and Saba",Influenza,1
Americas,Latin America and the Caribbean,"Bonaire, Sint Eustatius, and Saba",COVID-19,9
Europe,Southern Europe,Bosnia and Herzegovina,Influenza,1
Europe,Southern Europe,Bosnia and Herzegovina,COVID-19,3
Europe,Southern Europe,Bosnia and Herzegovina,Measles,1
Europe,Southern Europe,Bosnia and Herzegovina,Unspecified Viral Haemorrhagic Fever,1
Africa,Sub-Saharan Africa,Botswana,Influenza,1
Africa,Sub-Saharan Africa,Botswana,COVID-19,3
Americas,Latin America and the Caribbean,Brazil,Influenza,4
Americas,Latin America and the Caribbean,Brazil,Acute Polio,1
Americas,Latin America and the Caribbean,Brazil,COVID-19,3
Americas,Latin America and the Caribbean,Brazil,Cholera,2
Americas,Latin America and the Caribbean,Brazil,Dengue,1
Americas,Latin America and the Caribbean,Brazil,Measles,4
Americas,Latin America and the Caribbean,Brazil,SARS,1
Americas,Latin America and the Caribbean,Brazil,Sylvatic Yellow Fever,1
Americas,Latin America and the Caribbean,Brazil,Unspecified Viral Haemorrhagic Fever,2
Americas,Latin America and the Caribbean,Brazil,Viral Meningitis,1
Americas,Latin America and the Caribbean,Brazil,West Nile Virus,1
Americas,Latin America and the Caribbean,Brazil,Yellow Fever,9
Americas,Latin America and the Caribbean,Brazil,Zika Virus,1
Asia,South-eastern Asia,Brunei Darussalam,Influenza,1
Asia,South-eastern Asia,Brunei Darussalam,COVID-19,3
Asia,South-eastern Asia,Brunei Darussalam,Cholera,1
Europe,Eastern Europe,Bulgaria,Influenza,2
Europe,Eastern Europe,Bulgaria,COVID-19,3
Europe,Eastern Europe,Bulgaria,SARS,1
Africa,Sub-Saharan Africa,Burkina Faso,Acute Hepatitis E,1
Africa,Sub-Saharan Africa,Burkina Faso,Acute Polio,2
Africa,Sub-Saharan Africa,Burkina Faso,COVID-19,3
Africa,Sub-Saharan Africa,Burkina Faso,Cholera,3
Africa,Sub-Saharan Africa,Burkina Faso,Dengue,2
Africa,Sub-Saharan Africa,Burkina Faso,Lassa Fever,1
Africa,Sub-Saharan Africa,Burkina Faso,Meningococcal Meningitis,9
Africa,Sub-Saharan Africa,Burkina Faso,Viral Meningitis,3
Africa,Sub-Saharan Africa,Burkina Faso,Yellow Fever,4
Africa,Sub-Saharan Africa,Burundi,Influenza,1
Africa,Sub-Saharan Africa,Burundi,COVID-19,3
Africa,Sub-Saharan Africa,Burundi,Cholera,5
Africa,Sub-Saharan Africa,Burundi,Epidemic Louse-borne Typhus Fever,1
Africa,Sub-Saharan Africa,Burundi,Malaria,1
Africa,Sub-Saharan Africa,Burundi,Measles,1
Africa,Sub-Saharan Africa,Cabo Verde,Influenza,1
Africa,Sub-Saharan Africa,Cabo Verde,COVID-19,3
Africa,Sub-Saharan Africa,Cabo Verde,Cholera,1
Africa,Sub-Saharan Africa,Cabo Verde,Dengue,1
Africa,Sub-Saharan Africa,Cabo Verde,Zika Virus,1
Asia,South-eastern Asia,Cambodia,Influenza,9
Asia,South-eastern Asia,Cambodia,COVID-19,3
Asia,South-eastern Asia,Cambodia,Cholera,2
Asia,South-eastern Asia,Cambodia,Dengue,1
Asia,South-eastern Asia,Cambodia,"Hand, Foot, and Mouth Disease",1
Asia,South-eastern Asia,Cambodia,Infection,1
Asia,South-eastern Asia,Cambodia,Unspecified Viral Haemorrhagic Fever,1
Africa,Sub-Saharan Africa,Cameroon,Influenza,2
Africa,Sub-Saharan Africa,Cameroon,Acute Polio,4
Africa,Sub-Saharan Africa,Cameroon,COVID-19,3
Africa,Sub-Saharan Africa,Cameroon,Cholera,5
Africa,Sub-Saharan Africa,Cameroon,Infectious Gastroenteritis or Colitis,1
Africa,Sub-Saharan Africa,Cameroon,Meningococcal Meningitis,1
Africa,Sub-Saharan Africa,Cameroon,Monkeypox,1
Africa,Sub-Saharan Africa,Cameroon,Viral Meningitis,1
Africa,Sub-Saharan Africa,Cameroon,Yellow Fever,5
Americas,Northern America,Canada,Influenza,6
Americas,Northern America,Canada,Botulism,1
Americas,Northern America,Canada,COVID-19,3
Americas,Northern America,Canada,Coronavirus Infection,1
Americas,Northern America,Canada,Escherichia Coli,1
Americas,Northern America,Canada,Leptospirosis,1
Americas,Northern America,Canada,Measles,2
Americas,Northern America,Canada,SARS,1
Americas,Northern America,Canada,West Nile Virus,1
Americas,Latin America and the Caribbean,Cayman Islands,Influenza,1
Americas,Latin America and the Caribbean,Cayman Islands,COVID-19,3
Africa,Sub-Saharan Africa,Central African Republic,Acute Polio,2
Africa,Sub-Saharan Africa,Central African Republic,COVID-19,3
Africa,Sub-Saharan Africa,Central African Republic,Cholera,1
Africa,Sub-Saharan Africa,Central African Republic,Shigella Intestinal Infections,1
Africa,Sub-Saharan Africa,Central African Republic,Measles,1
Africa,Sub-Saharan Africa,Central African Republic,Meningococcal Meningitis,4
Africa,Sub-Saharan Africa,Central African Republic,Monkeypox,1
Africa,Sub-Saharan Africa,Central African Republic,Viral Meningitis,3
Africa,Sub-Saharan Africa,Central African Republic,Yellow Fever,3
Africa,Sub-Saharan Africa,Chad,Influenza,1
Africa,Sub-Saharan Africa,Chad,Acute Hepatitis E,3
Africa,Sub-Saharan Africa,Chad,Acute Polio,6
Africa,Sub-Saharan Africa,Chad,COVID-19,3
Africa,Sub-Saharan Africa,Chad,Chikungunya Virus,1
Africa,Sub-Saharan Africa,Chad,Cholera,4
Africa,Sub-Saharan Africa,Chad,Measles,1
Africa,Sub-Saharan Africa,Chad,Meningococcal Meningitis,7
Africa,Sub-Saharan Africa,Chad,Viral Meningitis,3
Africa,Sub-Saharan Africa,Chad,Yellow Fever,2
Americas,Latin America and the Caribbean,Chile,Influenza,4
Americas,Latin America and the Caribbean,Chile,COVID-19,3
Americas,Latin America and the Caribbean,Chile,Cholera,1
Americas,Latin America and the Caribbean,Chile,Dengue,1
Americas,Latin America and the Caribbean,Chile,Measles,2
Americas,Latin America and the Caribbean,Chile,Zika Virus,1
Asia,Eastern Asia,China,Influenza,18
Asia,Eastern Asia,China,Acute Polio,1
Asia,Eastern Asia,China,COVID-19,3
Asia,Eastern Asia,China,Enterovirus,1
Asia,Eastern Asia,China,Measles,1
Asia,Eastern Asia,China,MERS,1
Asia,Eastern Asia,China,Rift Valley Fever,1
Asia,Eastern Asia,China,Sepsis without Septic Shock,1
Asia,Eastern Asia,China,SARS,2
Asia,Eastern Asia,China,Viral Pneumonia,1
Asia,Eastern Asia,China,Yellow Fever,1
Americas,Latin America and the Caribbean,Colombia,Influenza,2
Americas,Latin America and the Caribbean,Colombia,COVID-19,3
Americas,Latin America and the Caribbean,Colombia,Dengue,1
Americas,Latin America and the Caribbean,Colombia,Measles,2
Americas,Latin America and the Caribbean,Colombia,SARS,1
Americas,Latin America and the Caribbean,Colombia,Sylvatic Yellow Fever,1
Americas,Latin America and the Caribbean,Colombia,Zika Virus,1
Africa,Sub-Saharan Africa,Comoros,COVID-19,3
Africa,Sub-Saharan Africa,Comoros,Cholera,2
Africa,Sub-Saharan Africa,Congo,Influenza,1
Africa,Sub-Saharan Africa,Congo,Acute Polio,2
Africa,Sub-Saharan Africa,Congo,COVID-19,3
Africa,Sub-Saharan Africa,Congo,Chikungunya Virus,1
Africa,Sub-Saharan Africa,Congo,Cholera,2
Africa,Sub-Saharan Africa,Congo,Ebola,1
Africa,Sub-Saharan Africa,Congo,Infectious Gastroenteritis or Colitis,1
Africa,Sub-Saharan Africa,Congo,Unspecified Viral Haemorrhagic Fever,6
Africa,Sub-Saharan Africa,Congo,Yellow Fever,3
Africa,Sub-Saharan Africa,DR Congo,Acute Polio,6
Africa,Sub-Saharan Africa,DR Congo,COVID-19,3
Africa,Sub-Saharan Africa,DR Congo,Cholera,10
Africa,Sub-Saharan Africa,DR Congo,Ebola,8
Africa,Sub-Saharan Africa,DR Congo,Infection,1
Africa,Sub-Saharan Africa,DR Congo,Marburg Disease,2
Africa,Sub-Saharan Africa,DR Congo,Measles,2
Africa,Sub-Saharan Africa,DR Congo,Meningococcal Meningitis,4
Africa,Sub-Saharan Africa,DR Congo,Monkeypox,2
Africa,Sub-Saharan Africa,DR Congo,Plague,3
Africa,Sub-Saharan Africa,DR Congo,SARS,1
Africa,Sub-Saharan Africa,DR Congo,Typhoid Fever,1
Africa,Sub-Saharan Africa,DR Congo,Unspecified Viral Haemorrhagic Fever,6
Africa,Sub-Saharan Africa,DR Congo,Viral Meningitis,3
Africa,Sub-Saharan Africa,DR Congo,Yellow Fever,5
Oceania,Polynesia,Cook Islands,Influenza,1
Oceania,Polynesia,Cook Islands,COVID-19,1
Oceania,Polynesia,Cook Islands,Dengue,2
Americas,Latin America and the Caribbean,Costa Rica,Influenza,2
Americas,Latin America and the Caribbean,Costa Rica,COVID-19,3
Americas,Latin America and the Caribbean,Costa Rica,Zika Virus,1
Europe,Southern Europe,Croatia,Influenza,2
Europe,Southern Europe,Croatia,COVID-19,3
Europe,Southern Europe,Croatia,Measles,1
Americas,Latin America and the Caribbean,Cuba,Influenza,2
Americas,Latin America and the Caribbean,Cuba,COVID-19,3
Americas,Latin America and the Caribbean,Cuba,Dengue,1
Americas,Latin America and the Caribbean,Cuba,Zika Virus,1
Americas,Latin America and the Caribbean,Curaçao,Influenza,1
Americas,Latin America and the Caribbean,Curaçao,COVID-19,3
Americas,Latin America and the Caribbean,Curaçao,Zika Virus,1
Asia,Western Asia,Cyprus,Influenza,2
Asia,Western Asia,Cyprus,COVID-19,3
Asia,Western Asia,Cyprus,Viral Meningitis,1
Europe,Eastern Europe,Czechia,Influenza,3
Europe,Eastern Europe,Czechia,COVID-19,3
Africa,Sub-Saharan Africa,Côte d'Ivoire,Influenza,1
Africa,Sub-Saharan Africa,Côte d'Ivoire,Acute Polio,4
Africa,Sub-Saharan Africa,Côte d'Ivoire,COVID-19,3
Africa,Sub-Saharan Africa,Côte d'Ivoire,Cholera,3
Africa,Sub-Saharan Africa,Côte d'Ivoire,Dengue,1
Africa,Sub-Saharan Africa,Côte d'Ivoire,Ebola,1
Africa,Sub-Saharan Africa,Côte d'Ivoire,Meningococcal Meningitis,3
Africa,Sub-Saharan Africa,Côte d'Ivoire,Yellow Fever,6
Europe,Northern Europe,Denmark,Influenza,3
Europe,Northern Europe,Denmark,Acute Hepatitis A,1
Europe,Northern Europe,Denmark,COVID-19,3
Europe,Northern Europe,Denmark,Escherichia Coli,1
Europe,Northern Europe,Denmark,Shigella Intestinal Infections,1
Europe,Northern Europe,Denmark,Meningococcal Meningitis,1
Africa,Sub-Saharan Africa,Djibouti,Influenza,2
Africa,Sub-Saharan Africa,Djibouti,COVID-19,3
Africa,Sub-Saharan Africa,Djibouti,Cholera,1
Americas,Latin America and the Caribbean,Dominica,Influenza,1
Americas,Latin America and the Caribbean,Dominica,COVID-19,3
Americas,Latin America and the Caribbean,Dominica,Zika Virus,1
Americas,Latin America and the Caribbean,Dominican Republic,Influenza,2
Americas,Latin America and the Caribbean,Dominican Republic,COVID-19,3
Americas,Latin America and the Caribbean,Dominican Republic,Zika Virus,1
Americas,Latin America and the Caribbean,Ecuador,Influenza,1
Americas,Latin America and the Caribbean,Ecuador,COVID-19,3
Americas,Latin America and the Caribbean,Ecuador,Cholera,2
Americas,Latin America and the Caribbean,Ecuador,Measles,1
Americas,Latin America and the Caribbean,Ecuador,Zika Virus,1
Africa,Northern Africa,Egypt,Influenza,7
Africa,Northern Africa,Egypt,COVID-19,3
Africa,Northern Africa,Egypt,Dengue,1
Africa,Northern Africa,Egypt,MERS,1
Americas,Latin America and the Caribbean,El Salvador,Influenza,2
Americas,Latin America and the Caribbean,El Salvador,COVID-19,3
Americas,Latin America and the Caribbean,El Salvador,Cholera,1
Americas,Latin America and the Caribbean,El Salvador,Dengue,1
Americas,Latin America and the Caribbean,El Salvador,Unspecified Viral Haemorrhagic Fever,1
Americas,Latin America and the Caribbean,El Salvador,Zika Virus,1
Africa,Sub-Saharan Africa,Equatorial Guinea,Acute Polio,1
Africa,Sub-Saharan Africa,Equatorial Guinea,COVID-19,3
Africa,Sub-Saharan Africa,Eritrea,COVID-19,3
Europe,Northern Europe,Estonia,Influenza,1
Europe,Northern Europe,Estonia,COVID-19,3
Africa,Sub-Saharan Africa,Eswatini,Influenza,1
Africa,Sub-Saharan Africa,Eswatini,COVID-19,3
Africa,Sub-Saharan Africa,Ethiopia,Influenza,1
Africa,Sub-Saharan Africa,Ethiopia,Acute Polio,4
Africa,Sub-Saharan Africa,Ethiopia,Anthrax,1
Africa,Sub-Saharan Africa,Ethiopia,COVID-19,3
Africa,Sub-Saharan Africa,Ethiopia,Dracunculiasis,1
Africa,Sub-Saharan Africa,Ethiopia,Infectious Gastroenteritis or Colitis,1
Africa,Sub-Saharan Africa,Ethiopia,Measles,1
Africa,Sub-Saharan Africa,Ethiopia,Meningococcal Meningitis,5
Africa,Sub-Saharan Africa,Ethiopia,Viral Meningitis,1
Africa,Sub-Saharan Africa,Ethiopia,Yellow Fever,1
Americas,Latin America and the Caribbean,Falkland Islands (Malvinas),Influenza,1
Americas,Latin America and the Caribbean,Falkland Islands (Malvinas),COVID-19,3
Europe,Northern Europe,Faroe Islands,COVID-19,3
Oceania,Melanesia,Fiji,Influenza,1
Oceania,Melanesia,Fiji,COVID-19,3
Oceania,Melanesia,Fiji,Cholera,1
Oceania,Melanesia,Fiji,Dengue,1
Oceania,Melanesia,Fiji,Measles,1
Europe,Northern Europe,Finland,Influenza,3
Europe,Northern Europe,Finland,Acute Hepatitis A,1
Europe,Northern Europe,Finland,COVID-19,3
Europe,Western Europe,France,Influenza,4
Europe,Western Europe,France,Acute Hepatitis A,1
Europe,Western Europe,France,COVID-19,3
Europe,Western Europe,France,Chikungunya Virus,2
Europe,Western Europe,France,Creutzfeldt-Jakob Disease,1
Europe,Western Europe,France,Escherichia Coli,1
Europe,Western Europe,France,Salmonella,1
Europe,Western Europe,France,Legionnaires' Disease,2
Europe,Western Europe,France,Listeriosis,1
Europe,Western Europe,France,Measles,2
Europe,Western Europe,France,Meningococcal Meningitis,2
Europe,Western Europe,France,MERS,1
Europe,Western Europe,France,Rabies,1
Europe,Western Europe,France,Rift Valley Fever,1
Europe,Western Europe,France,SARS,1
Europe,Western Europe,France,Yellow Fever,2
Europe,Western Europe,France,Zika Virus,2
Americas,Latin America and the Caribbean,French Guiana,Influenza,1
