country,decade,tried,deaths,battles,population
Austria,1300,0,0,0,2000000
Austria,1310,1,0,0,1925000
Austria,1320,3,0,0,1850000
Austria,1330,1,0,0,1775000
Austria,1340,1,0,0,1700000
Austria,1350,0,0,0,1625000
Austria,1360,0,0,0,1550000
Austria,1370,0,0,0,1475000
Austria,1380,0,0,0,1400000
Austria,1390,0,0,0,1325000
Austria,1400,0,0,0,1250000
Austria,1410,0,0,0,1325000
Austria,1420,0,0,0,1400000
Austria,1430,3,0,0,1475000
Austria,1440,0,0,0,1550000
Austria,1450,0,0,0,1625000
Austria,1460,0,0,0,1700000
Austria,1470,0,0,0,1775000
Austria,1480,57,0,0,1850000
Austria,1490,2,1,0,1925000
Austria,1500,0,0,0,2000000
Austria,1510,0,0,0,2050000
Austria,1520,0,0,1,2100000
Austria,1530,0,0,0,2150000
Austria,1540,0,0,0,2200000
Austria,1550,0,0,0,2250000
Austria,1560,0,0,0,2300000
Austria,1570,0,0,0,2350000
Austria,1580,11,11,0,2400000
Austria,1590,0,0,0,2450000
Austria,1600,1,0,0,2500000
Austria,1610,0,0,2,2500000
Austria,1620,1,1,2,2500000
Austria,1630,0,0,0,2500000
Austria,1640,1,0,0,2500000
Austria,1650,0,0,0,2500000
Austria,1660,0,0,0,2500000
Austria,1670,0,0,0,2500000
Austria,1680,1,0,0,2500000
Austria,1690,0,0,0,2500000
Austria,1700,0,0,0,2500000
Austria,1710,0,0,0,2550000
Austria,1720,0,0,0,2600000
Austria,1730,0,0,0,2650000
Austria,1740,0,0,0,2700000
Austria,1750,0,0,0,2750000
Austria,1760,0,0,0,2800000
Austria,1770,0,0,0,2850000
Austria,1780,0,0,0,2900000
Austria,1790,0,0,0,2950000
Austria,1800,0,0,0,3000000
Austria,1810,0,0,0,3300000
Austria,1820,0,0,0,3600000
Austria,1830,0,0,0,3900000
Austria,1840,0,0,0,4200000
Austria,1850,0,0,0,4500000
Belgium,1300,0,0,0,1152500
Belgium,1310,0,0,0,1111010
Belgium,1320,0,0,0,1069520
Belgium,1330,0,0,0,1028030
Belgium,1340,0,0,0,986540
Belgium,1350,0,0,0,945050
Belgium,1360,0,0,0,903560
Belgium,1370,0,0,0,862070
Belgium,1380,1,0,0,820580
Belgium,1390,0,0,0,779090
Belgium,1400,0,0,0,737600
Belgium,1410,1,0,0,779090
Belgium,1420,0,0,0,820580
Belgium,1430,0,0,0,862070
Belgium,1440,0,0,0,903560
Belgium,1450,2,1,0,945050
Belgium,1460,9,8,0,986540
Belgium,1470,2,0,0,1028030
Belgium,1480,0,0,0,1069520
Belgium,1490,2,0,0,1111010
Belgium,1500,4,3,0,1152500
Belgium,1510,18,4,0,1175550
Belgium,1520,23,10,0,1198600
Belgium,1530,23,9,0,1221650
Belgium,1540,44,11,0,1244700
Belgium,1550,46,15,0,1267750
Belgium,1560,36,14,2,1290800
Belgium,1570,13,6,9,1313850
Belgium,1580,46,19,7,1336900
Belgium,1590,114,72,1,1359950
Belgium,1600,165,106,2,1383000
Belgium,1610,145,33,0,1406050
Belgium,1620,94,19,1,1429100
Belgium,1630,61,24,3,1452150
Belgium,1640,17,4,0,1475200
Belgium,1650,13,12,0,1498250
Belgium,1660,6,6,0,1521300
Belgium,1670,1,1,0,1544350
Belgium,1680,1,1,0,1567400
Belgium,1690,0,0,0,1590450
Belgium,1700,0,0,0,1613500
Belgium,1710,0,0,0,1751800
Belgium,1720,0,0,0,1890100
Belgium,1730,0,0,0,2028400
Belgium,1740,0,0,0,2166700
Belgium,1750,0,0,0,2305000
Belgium,1760,0,0,0,2443300
Belgium,1770,0,0,0,2581600
Belgium,1780,0,0,0,2719900
Belgium,1790,0,0,0,2858200
Belgium,1800,0,0,0,2996500
Belgium,1810,0,0,0,3342250
Belgium,1820,0,0,0,3688000
Belgium,1830,0,0,0,4033750
Belgium,1840,0,0,0,4379500
Belgium,1850,0,0,0,4725250
Czech Republic,1300,0,0,0,1851000
Czech Republic,1310,0,0,0,1820150
Czech Republic,1320,0,0,0,1789300
Czech Republic,1330,0,0,0,1758450
Czech Republic,1340,0,0,0,1727600
Czech Republic,1350,2,0,0,1696750
Czech Republic,1360,0,0,0,1665900
Czech Republic,1370,0,0,0,1635050
Czech Republic,1380,0,0,0,1604200
Czech Republic,1390,0,0,0,1573350
Czech Republic,1400,0,0,0,1542500
Czech Republic,1410,0,0,0,1573350
Czech Republic,1420,0,0,0,1604200
Czech Republic,1430,0,0,0,1635050
Czech Republic,1440,0,0,0,1665900
Czech Republic,1450,0,0,0,1696750
Czech Republic,1460,0,0,0,1727600
Czech Republic,1470,0,0,0,1758450
Czech Republic,1480,0,0,0,1789300
Czech Republic,1490,0,0,0,1820150
Czech Republic,1500,0,0,0,1851000
Czech Republic,1510,0,0,0,1943550
Czech Republic,1520,0,0,0,2036100
Czech Republic,1530,0,0,0,2128650
Czech Republic,1540,0,0,0,2221200
Czech Republic,1550,0,0,0,2313750
Czech Republic,1560,0,0,0,2406300
Czech Republic,1570,0,0,0,2498850
Czech Republic,1580,0,0,0,2591400
Czech Republic,1590,0,0,0,2683950
Czech Republic,1600,0,0,0,2776500
Czech Republic,1610,0,0,2,2776500
Czech Republic,1620,0,0,2,2776500
Czech Republic,1630,0,0,2,2776500
Czech Republic,1640,0,0,3,2776500
Czech Republic,1650,0,0,0,2776500
Czech Republic,1660,0,0,0,2776500
Czech Republic,1670,0,0,0,2776500
Czech Republic,1680,0,0,0,2776500
Czech Republic,1690,0,0,0,2776500
Czech Republic,1700,0,0,0,2776500
Czech Republic,1710,0,0,0,2915325
Czech Republic,1720,0,0,0,3054150
Czech Republic,1730,0,0,0,3192975
Czech Republic,1740,0,0,0,3331800
Czech Republic,1750,0,0,0,3470625
Czech Republic,1760,0,0,0,3609450
Czech Republic,1770,0,0,0,3748275
Czech Republic,1780,0,0,0,3887100
Czech Republic,1790,0,0,0,4025925
Czech Republic,1800,0,0,0,4164750
Czech Republic,1810,0,0,0,4488675
Czech Republic,1820,0,0,0,4812600
Czech Republic,1830,0,0,0,5136525
Czech Republic,1840,0,0,0,5460450
Czech Republic,1850,0,0,0,5784375
Denmark,1300,0,0,0,600000
Denmark,1310,0,0,0,590000
Denmark,1320,0,0,0,580000
Denmark,1330,0,0,0,570000
Denmark,1340,0,0,0,560000
Denmark,1350,0,0,0,550000
Denmark,1360,0,0,0,540000
Denmark,1370,0,0,0,530000
Denmark,1380,0,0,0,520000
Denmark,1390,0,0,0,510000
Denmark,1400,0,0,0,500000
Denmark,1410,0,0,0,510000
Denmark,1420,0,0,0,520000
Denmark,1430,0,0,0,530000
Denmark,1440,0,0,0,540000
Denmark,1450,0,0,0,550000
Denmark,1460,0,0,0,560000
Denmark,1470,0,0,0,570000
Denmark,1480,0,0,0,580000
Denmark,1490,0,0,0,590000
Denmark,1500,0,0,0,600000
Denmark,1510,0,0,0,610000
Denmark,1520,0,0,0,620000
Denmark,1530,0,0,0,630000
Denmark,1540,0,0,0,640000
Denmark,1550,0,0,0,650000
Denmark,1560,0,0,0,660000
Denmark,1570,6,0,0,670000
Denmark,1580,0,0,0,680000
Denmark,1590,3,0,0,690000
Denmark,1600,0,0,0,700000
Denmark,1610,45,0,0,710000
Denmark,1620,16,0,0,720000
Denmark,1630,10,0,0,730000
Denmark,1640,9,0,2,740000
Denmark,1650,1,0,0,750000
Denmark,1660,0,0,0,760000
Denmark,1670,0,0,0,770000
Denmark,1680,0,0,0,780000
Denmark,1690,0,0,0,790000
Denmark,1700,0,0,0,800000
Denmark,1710,0,0,0,820000
Denmark,1720,0,0,0,840000
Denmark,1730,0,0,0,860000
Denmark,1740,0,0,0,880000
Denmark,1750,0,0,0,900000
Denmark,1760,0,0,0,920000
Denmark,1770,0,0,0,940000
Denmark,1780,0,0,0,960000
Denmark,1790,0,0,0,980000
Denmark,1800,0,0,0,1000000
Denmark,1810,0,0,0,1150000
Denmark,1820,0,0,0,1300000
Denmark,1830,0,0,0,1450000
Denmark,1840,0,0,0,1600000
Denmark,1850,0,0,0,1750000
England,1300,3,0,0,3236250
England,1310,2,1,0,3128375
England,1320,28,0,0,3020500
England,1330,5,0,0,2912625
England,1340,0,0,0,2804750
England,1350,0,0,0,2696875
England,1360,1,1,0,2589000
England,1370,2,0,0,2481125
England,1380,3,1,0,2373250
England,1390,0,0,0,2265375
England,1400,0,0,0,2157500
England,1410,2,0,0,2265375
England,1420,2,0,0,2373250
England,1430,12,0,0,2481125
England,1440,10,2,0,2589000
England,1450,5,0,0,2696875
England,1460,3,0,0,2804750
England,1470,3,0,0,2912625
England,1480,5,0,0,3020500
England,1490,10,0,0,3128375
England,1500,0,0,0,3236250
England,1510,0,0,0,3279400
England,1520,0,0,0,3322550
England,1530,0,0,0,3365700
England,1540,0,0,0,3408850
England,1550,4,0,0,3452000
England,1560,18,2,0,3495150
England,1570,30,9,0,3538300
England,1580,63,20,0,3581450
England,1590,51,11,0,3624600
England,1600,32,13,0,3667750
England,1610,107,67,0,3797200
England,1620,23,4,0,3926650
England,1630,40,3,1,4056100
England,1640,412,172,62,4185550
England,1650,132,49,2,4315000
England,1660,62,7,0,4444450
England,1670,58,4,0,4573900
England,1680,39,0,0,4703350
England,1690,14,1,0,4832800
England,1700,9,0,0,4962250
England,1710,5,0,0,5264300
England,1720,0,0,0,5566350
England,1730,1,0,0,5868400
England,1740,1,0,0,6170450
England,1750,0,0,0,6472500
England,1760,0,0,0,6774550
England,1770,0,0,0,7076600
England,1780,0,0,0,7378650
England,1790,0,0,0,7680700
England,1800,0,0,0,7982750
England,1810,0,0,0,10032375
England,1820,0,0,0,12082000
England,1830,0,0,0,14131625
England,1840,0,0,0,16181250
England,1850,0,0,0,18230875
Estonia,1300,0,0,0,65000
Estonia,1310,0,0,0,67000
Estonia,1320,0,0,0,69000
Estonia,1330,0,0,0,71000
Estonia,1340,0,0,0,73000
Estonia,1350,0,0,0,75000
Estonia,1360,0,0,0,77000
Estonia,1370,0,0,0,79000
Estonia,1380,0,0,0,81000
Estonia,1390,0,0,0,83000
Estonia,1400,0,0,0,85000
Estonia,1410,0,0,0,87000
Estonia,1420,0,0,0,89000
Estonia,1430,0,0,0,91000
Estonia,1440,0,0,0,93000
Estonia,1450,0,0,0,95000
Estonia,1460,0,0,0,97000
Estonia,1470,0,0,0,99000
Estonia,1480,0,0,0,101000
Estonia,1490,0,0,0,103000
Estonia,1500,0,0,0,105000
Estonia,1510,0,0,0,107000
Estonia,1520,1,1,0,109000
Estonia,1530,1,1,0,111000
Estonia,1540,5,5,0,113000
Estonia,1550,0,0,0,115000
Estonia,1560,0,0,0,117000
Estonia,1570,0,0,0,119000
Estonia,1580,7,5,0,121000
Estonia,1590,11,0,0,123000
Estonia,1600,6,1,0,125000
Estonia,1610,22,18,0,150000
Estonia,1620,14,8,0,175000
Estonia,1630,25,4,0,200000
Estonia,1640,39,10,0,225000
Estonia,1650,10,1,0,250000
Estonia,1660,10,4,0,275000
Estonia,1670,8,1,0,300000
Estonia,1680,8,3,0,325000
Estonia,1690,28,3,0,350000
Estonia,1700,5,0,0,375000
Estonia,1710,0,0,0,386000
Estonia,1720,5,0,0,397000
Estonia,1730,0,0,0,408000
Estonia,1740,0,0,0,419000
Estonia,1750,0,0,0,430000
Estonia,1760,0,0,0,441000
Estonia,1770,0,0,0,452000
Estonia,1780,0,0,0,463000
Estonia,1790,0,0,0,474000
Estonia,1800,0,0,0,485000
Estonia,1810,0,0,0,496500
Estonia,1820,0,0,0,508000
Estonia,1830,0,0,0,519500
Estonia,1840,0,0,0,531000
Estonia,1850,0,0,0,542500
Finland,1300,0,0,0,100000
Finland,1310,0,0,0,100000
Finland,1320,0,0,0,100000
Finland,1330,0,0,0,100000
Finland,1340,0,0,0,100000
Finland,1350,0,0,0,100000
Finland,1360,0,0,0,100000
Finland,1370,0,0,0,100000
Finland,1380,0,0,0,100000
Finland,1390,0,0,0,100000
Finland,1400,0,0,0,100000
Finland,1410,0,0,0,100000
Finland,1420,0,0,0,100000
Finland,1430,0,0,0,100000
Finland,1440,0,0,0,100000
Finland,1450,0,0,0,100000
Finland,1460,0,0,0,100000
Finland,1470,0,0,0,100000
Finland,1480,0,0,0,100000
Finland,1490,0,0,0,100000
Finland,1500,0,0,0,100000
Finland,1510,0,0,0,110000
Finland,1520,1,0,0,120000
Finland,1530,0,0,0,130000
Finland,1540,8,0,0,140000
Finland,1550,12,1,0,150000
Finland,1560,16,4,0,160000
Finland,1570,22,3,0,170000
Finland,1580,15,2,0,180000
Finland,1590,8,1,0,190000
Finland,1600,7,2,0,200000
Finland,1610,6,0,0,210000
Finland,1620,22,3,0,220000
Finland,1630,27,2,0,230000
Finland,1640,66,11,0,240000
Finland,1650,73,10,0,250000
Finland,1660,87,25,0,260000
Finland,1670,157,41,0,270000
Finland,1680,121,9,0,280000
Finland,1690,62,1,0,290000
Finland,1700,0,0,0,300000
Finland,1710,0,0,0,350000
Finland,1720,0,0,0,400000
Finland,1730,0,0,0,450000
Finland,1740,0,0,0,500000
Finland,1750,0,0,0,550000
Finland,1760,0,0,0,600000
Finland,1770,0,0,0,650000
Finland,1780,0,0,0,700000
Finland,1790,0,0,0,750000
Finland,1800,0,0,0,800000
Finland,1810,0,0,0,995000
Finland,1820,0,0,0,1190000
Finland,1830,0,0,0,1385000
Finland,1840,0,0,0,1580000
Finland,1850,0,0,0,1775000
France,1300,43,38,0,16000000
France,1310,113,101,0,15500000
France,1320,24,3,0,15000000
France,1330,33,9,0,14500000
France,1340,3,0,0,14000000
France,1350,3,0,0,13500000
France,1360,0,0,0,13000000
France,1370,7,4,0,12500000
France,1380,3,0,0,12000000
France,1390,14,9,0,11500000
France,1400,20,8,0,11000000
France,1410,3,1,0,11400000
France,1420,168,167,0,11800000
France,1430,31,24,0,12200000
France,1440,19,13,0,12600000
France,1450,86,36,0,13000000
France,1460,18,12,0,13400000
France,1470,14,6,0,13800000
France,1480,84,62,0,14200000
France,1490,10,2,0,14600000
France,1500,7,1,0,15000000
France,1510,5,0,0,15350000
France,1520,9,2,1,15700000
France,1530,5,0,0,16050000
France,1540,20,15,0,16400000
France,1550,57,43,1,16750000
France,1560,30,4,15,17100000
France,1570,157,85,7,17450000
France,1580,344,96,6,17800000
France,1590,485,125,9,18150000
France,1600,494,139,1,18500000
France,1610,708,317,0,18850000
France,1620,326,75,7,19200000
France,1630,163,86,9,19550000
France,1640,65,21,8,19900000
France,1650,94,56,0,20250000
France,1660,53,12,0,20600000
France,1670,196,37,0,20950000
France,1680,178,20,0,21300000
France,1690,21,3,0,21650000
France,1700,1,0,0,22000000
France,1710,2,1,0,22700000
France,1720,4,0,0,23400000
France,1730,2,0,0,24100000
France,1740,32,30,0,24800000
France,1750,1,0,0,25500000
France,1760,1,0,0,26200000
France,1770,1,0,0,26900000
France,1780,1,0,0,27600000
France,1790,1,0,0,28300000
France,1800,0,0,0,29000000
France,1810,0,0,0,30200000
France,1820,0,0,0,31400000
France,1830,0,0,0,32600000
France,1840,0,0,0,33800000
France,1850,0,0,0,35000000
Germany,1300,2,0,0,9000000
Germany,1310,0,0,0,8750000
Germany,1320,2,1,0,8500000
Germany,1330,14,14,0,8250000
Germany,1340,4,0,0,8000000
Germany,1350,0,0,0,7750000
Germany,1360,0,0,0,7500000
Germany,1370,3,0,0,7250000
Germany,1380,9,0,0,7000000
Germany,1390,3,1,0,6750000
Germany,1400,8,2,0,6500000
Germany,1410,6,1,0,6750000
Germany,1420,9,2,0,7000000
Germany,1430,13,5,0,7250000
Germany,1440,18,12,0,7500000
Germany,1450,19,8,0,7750000
Germany,1460,13,1,0,8000000
Germany,1470,22,4,0,8250000
Germany,1480,124,56,0,8500000
Germany,1490,105,76,0,8750000
Germany,1500,28,12,0,9000000
Germany,1510,28,11,0,9300000
Germany,1520,36,9,17,9600000
Germany,1530,59,24,0,9900000
Germany,1540,65,31,3,10200000
Germany,1550,43,25,1,10500000
Germany,1560,222,106,1,10800000
Germany,1570,591,303,0,11100000
Germany,1580,1250,873,4,11400000
Germany,1590,2048,1248,2,11700000
Germany,1600,1288,390,4,12000000
Germany,1610,1849,839,1,12100000
Germany,1620,2632,1533,21,12200000
Germany,1630,1189,617,33,12300000
Germany,1640,346,63,17,12400000
Germany,1650,871,156,0,12500000
Germany,1660,840,163,0,12600000
Germany,1670,736,62,0,12700000
Germany,1680,812,59,0,12800000
Germany,1690,429,63,0,12900000
Germany,1700,295,37,0,13000000
Germany,1710,173,24,0,13500000
Germany,1720,164,37,0,14000000
Germany,1730,27,5,0,14500000
Germany,1740,25,6,0,15000000
Germany,1750,31,6,0,15500000
Germany,1760,7,1,0,16000000
Germany,1770,13,1,0,16500000
Germany,1780,0,0,0,17000000
Germany,1790,3,0,0,17500000
Germany,1800,0,0,0,18000000
Germany,1810,0,0,0,20500000
Germany,1820,0,0,0,23000000
Germany,1830,0,0,0,25500000
Germany,1840,0,0,0,28000000
Germany,1850,0,0,0,30500000
Hungary,1300,0,0,0,1250000
Hungary,1310,0,0,0,1225000
Hungary,1320,0,0,0,1200000
Hungary,1330,0,0,0,1175000
Hungary,1340,0,0,0,1150000
Hungary,1350,0,0,0,1125000
Hungary,1360,0,0,0,1100000
Hungary,1370,0,0,0,1075000
Hungary,1380,0,0,0,1050000
Hungary,1390,0,0,0,1025000
Hungary,1400,0,0,0,1000000
Hungary,1410,0,0,0,1025000
Hungary,1420,0,0,0,1050000
Hungary,1430,0,0,0,1075000
Hungary,1440,0,0,0,1100000
Hungary,1450,0,0,0,1125000
Hungary,1460,0,0,0,1150000
Hungary,1470,0,0,0,1175000
Hungary,1480,0,0,0,1200000
Hungary,1490,0,0,0,1225000
Hungary,1500,0,0,0,1250000
Hungary,1510,0,0,0,1250000
Hungary,1520,3,1,0,1250000
Hungary,1530,3,1,0,1250000
Hungary,1540,3,1,0,1250000
Hungary,1550,3,1,0,1250000
Hungary,1560,5,4,0,1250000
Hungary,1570,5,1,0,1250000
Hungary,1580,17,11,0,1250000
Hungary,1590,8,4,0,1250000
Hungary,1600,12,6,0,1250000
Hungary,1610,15,10,0,1275000
Hungary,1620,43,14,0,1300000
Hungary,1630,38,9,0,1325000
Hungary,1640,51,6,0,1350000
Hungary,1650,57,19,0,1375000
Hungary,1660,63,15,0,1400000
Hungary,1670,57,26,0,1425000
Hungary,1680,45,22,0,1450000
Hungary,1690,103,39,0,1475000
Hungary,1700,106,46,0,1500000
Hungary,1710,217,62,0,1675000
Hungary,1720,227,64,0,1850000
Hungary,1730,180,36,0,2025000
Hungary,1740,185,51,0,2200000
Hungary,1750,143,21,0,2375000
Hungary,1760,47,1,0,2550000
Hungary,1770,8,3,0,2725000
Hungary,1780,0,0,0,2900000
Hungary,1790,0,0,0,3075000
Hungary,1800,0,0,0,3250000
Hungary,1810,0,0,0,3625000
Hungary,1820,0,0,0,4000000
Hungary,1830,0,0,0,4375000
Hungary,1840,0,0,0,4750000
Hungary,1850,0,0,0,5125000
Ireland,1300,0,0,0,668000
Ireland,1310,0,0,0,651300
Ireland,1320,12,1,0,634600
Ireland,1330,0,0,0,617900
Ireland,1340,0,0,0,601200
Ireland,1350,0,0,0,584500
Ireland,1360,0,0,0,567800
Ireland,1370,0,0,0,551100
Ireland,1380,0,0,0,534400
Ireland,1390,0,0,0,517700
Ireland,1400,0,0,0,501000
Ireland,1410,0,0,0,517700
Ireland,1420,0,0,0,534400
Ireland,1430,0,0,0,551100
Ireland,1440,0,0,0,567800
Ireland,1450,0,0,0,584500
Ireland,1460,0,0,0,601200
Ireland,1470,0,0,0,617900
Ireland,1480,0,0,0,634600
Ireland,1490,0,0,0,651300
Ireland,1500,0,0,0,668000
Ireland,1510,0,0,0,705575
Ireland,1520,0,0,0,743150
Ireland,1530,0,0,0,780725
Ireland,1540,0,0,0,818300
Ireland,1550,0,0,0,855875
Ireland,1560,0,0,0,893450
Ireland,1570,39,0,0,931025
Ireland,1580,0,0,0,968600
Ireland,1590,0,0,0,1006175
Ireland,1600,0,0,0,1043750
