iso,country,region
MEX,Mexico,Latin America
SUR,Suriname,The Carribean
SWE,Sweden,Western Europe and North America
CHE,Switzerland,Western Europe and North America
GHA,Ghana,Sub-Saharan Africa
ZAF,South Africa,Sub-Saharan Africa
JPN,Japan,East Asia
MMR,Myanmar,South-East Asia
RUS,Russia,Estern Europe and Central Asia
ALB,Albania,Estern Europe and Central Asia
EGY,Egypt,Middle East and North Africa
YEM,Yemen,Middle East and North Africa
COL,Colombia,Latin America
POL,Poland,Estern Europe and Central Asia
BRA,Brazil,Latin America
USA,United States,Western Europe and North America
PRT,Portugal,Western Europe and North America
SLV,El Salvador,Latin America
BGD,Bangladesh,South Asia
BOL,Bolivia,Latin America
HTI,Haiti,Latin America
HND,Honduras,Latin America
MLI,Mali,Sub-Saharan Africa
PAK,Pakistan,South Asia
PER,Peru,Latin America
SEN,Senegal,Sub-Saharan Africa
SSD,South Sudan,Sub-Saharan Africa
SDN,Sudan,Sub-Saharan Africa
VNM,Vietnam,South-East Asia
AFG,Afghanistan,South Asia
ARG,Argentina,Latin America
ETH,Ethiopia,Sub-Saharan Africa
IND,India,South Asia
KEN,Kenya,Sub-Saharan Africa
PRK,North Korea,East Asia
KOR,South Korea,East Asia
XKX,Kosovo,Estern Europe and Central Asia
LBN,Lebanon,Middle East and North Africa
NGA,Nigeria,Sub-Saharan Africa
PHL,Philippines,South-East Asia
TZA,Tanzania,Sub-Saharan Africa
THA,Thailand,South-East Asia
UGA,Uganda,Sub-Saharan Africa
VEN,Venezuela,Latin America
BEN,Benin,Sub-Saharan Africa
BTN,Bhutan,South Asia
BFA,Burkina Faso,Sub-Saharan Africa
KHM,Cambodia,South-East Asia
IDN,Indonesia,South-East Asia
MOZ,Mozambique,Sub-Saharan Africa
NPL,Nepal,South Asia
NIC,Nicaragua,Latin America
NER,Niger,Sub-Saharan Africa
ZMB,Zambia,Sub-Saharan Africa
ZWE,Zimbabwe,Sub-Saharan Africa
GIN,Guinea,Sub-Saharan Africa
CIV,Ivory Coast,Sub-Saharan Africa
MRT,Mauritania,Sub-Saharan Africa
CAN,Canada,Western Europe and North America
AUS,Australia,Oceania
BWA,Botswana,Sub-Saharan Africa
BDI,Burundi,Sub-Saharan Africa
CPV,Cape Verde,Sub-Saharan Africa
CAF,Central African Republic,Sub-Saharan Africa
CHL,Chile,Latin America
CRI,Costa Rica,Latin America
TLS,Timor-Leste,South-East Asia
ECU,Ecuador,Latin America
FRA,France,Western Europe and North America
DEU,Germany,Western Europe and North America
GTM,Guatemala,Latin America
IRN,Iran,Middle East and North Africa
IRQ,Iraq,Middle East and North Africa
IRL,Ireland,Western Europe and North America
ITA,Italy,Western Europe and North America
JOR,Jordan,Middle East and North Africa
LVA,Latvia,Estern Europe and Central Asia
LSO,Lesotho,Sub-Saharan Africa
LBR,Liberia,Sub-Saharan Africa
MWI,Malawi,Sub-Saharan Africa
MDV,Maldives,South Asia
MNG,Mongolia,Estern Europe and Central Asia
MAR,Morocco,Middle East and North Africa
NLD,Netherlands,Western Europe and North America
PAN,Panama,Latin America
PNG,Papua New Guinea,Oceania
QAT,Qatar,Middle East and North Africa
SLE,Sierra Leone,Sub-Saharan Africa
ESP,Spain,Western Europe and North America
SYR,Syria,Middle East and North Africa
TUN,Tunisia,Middle East and North Africa
TUR,Turkey,Middle East and North Africa
UKR,Ukraine,Estern Europe and Central Asia
GBR,United Kingdom,Western Europe and North America
URY,Uruguay,Latin America
DZA,Algeria,Middle East and North Africa
AGO,Angola,Sub-Saharan Africa
ARM,Armenia,Estern Europe and Central Asia
AZE,Azerbaijan,Estern Europe and Central Asia
BLR,Belarus,Estern Europe and Central Asia
CMR,Cameroon,Sub-Saharan Africa
TCD,Chad,Sub-Saharan Africa
CHN,China,East Asia
COD,DR Congo,Sub-Saharan Africa
COG,Congo,Sub-Saharan Africa
DJI,Djibouti,Sub-Saharan Africa
DOM,Dominican Republic,Latin America
ERI,Eritrea,Sub-Saharan Africa
GAB,Gabon,Sub-Saharan Africa
GMB,Gambia,Sub-Saharan Africa
GEO,Georgia,Estern Europe and Central Asia
GNB,Guinea-Bissau,Sub-Saharan Africa
JAM,Jamaica,The Carribean
KAZ,Kazakhstan,Estern Europe and Central Asia
KGZ,Kyrgyzstan,Estern Europe and Central Asia
LAO,Laos,South-East Asia
LBY,Libya,Middle East and North Africa
MDG,Madagascar,Sub-Saharan Africa
MDA,Moldova,Estern Europe and Central Asia
NAM,Namibia,Sub-Saharan Africa
RWA,Rwanda,Sub-Saharan Africa
SOM,Somalia,Sub-Saharan Africa
LKA,Sri Lanka,South Asia
SWZ,Eswatini,Sub-Saharan Africa
TJK,Tajikistan,Estern Europe and Central Asia
TGO,Togo,Sub-Saharan Africa
TTO,Trinidad & Tobago,The Carribean
TKM,Turkmenistan,Estern Europe and Central Asia
UZB,Uzbekistan,Estern Europe and Central Asia
AUT,Austria,Western Europe and North America
BHR,Bahrain,Middle East and North Africa
BRB,Barbados,The Carribean
BEL,Belgium,Western Europe and North America
BIH,Bosnia & Herzegovina,Estern Europe and Central Asia
BGR,Bulgaria,Estern Europe and Central Asia
COM,Comoros,Sub-Saharan Africa
HRV,Croatia,Estern Europe and Central Asia
CUB,Cuba,Latin America
CYP,Cyprus,Western Europe and North America
CZE,Czechia,Estern Europe and Central Asia
DNK,Denmark,Western Europe and North America
GNQ,Equatorial Guinea,Sub-Saharan Africa
EST,Estonia,Estern Europe and Central Asia
FJI,Fiji,Oceania
FIN,Finland,Western Europe and North America
GRC,Greece,Western Europe and North America
GUY,Guyana,The Carribean
ISL,Iceland,Western Europe and North America
ISR,Israel,Middle East and North Africa
KWT,Kuwait,Middle East and North Africa
LTU,Lithuania,Estern Europe and Central Asia
LUX,Luxembourg,Western Europe and North America
MKD,North Macedonia,Estern Europe and Central Asia
MYS,Malaysia,South-East Asia
MLT,Malta,Western Europe and North America
MUS,Mauritius,Sub-Saharan Africa
MNE,Montenegro,Estern Europe and Central Asia
NZL,New Zealand,Oceania
NOR,Norway,Western Europe and North America
OMN,Oman,Middle East and North Africa
PRY,Paraguay,Latin America
ROU,Romania,Estern Europe and Central Asia
STP,Sao Tome & Principe,Sub-Saharan Africa
SAU,Saudi Arabia,Middle East and North Africa
SRB,Serbia,Estern Europe and Central Asia
SYC,Seychelles,Sub-Saharan Africa
SGP,Singapore,South-East Asia
SVK,Slovakia,Estern Europe and Central Asia
SVN,Slovenia,Estern Europe and Central Asia
SLB,Solomon Islands,Oceania
VUT,Vanuatu,Oceania
ARE,United Arab Emirates,Middle East and North Africa
HUN,Hungary,Estern Europe and Central Asia
